DateShort,TimeFrom,TimeTo,CountryCode,Value
1/1/2018,0:00,1:00,AT,6414
1/1/2018,0:00,1:00,DE,43259.5
1/1/2018,0:00,1:00,FR,56898
1/1/2018,1:00,2:00,AT,6153
1/1/2018,1:00,2:00,DE,41968.92
1/1/2018,1:00,2:00,FR,54375
1/1/2018,2:00,3:00,AT,5907
1/1/2018,2:00,3:00,DE,41430.94
1/1/2018,2:00,3:00,FR,51887
1/1/2018,3:00,4:00,AT,5918
1/1/2018,3:00,4:00,DE,41361.44
1/1/2018,3:00,4:00,FR,50308
1/1/2018,4:00,5:00,AT,6033
1/1/2018,4:00,5:00,DE,41117.76
1/1/2018,4:00,5:00,FR,50424
1/1/2018,5:00,6:00,AT,6160
1/1/2018,5:00,6:00,DE,40280.63
1/1/2018,5:00,6:00,FR,50909
1/1/2018,6:00,7:00,AT,6624
1/1/2018,6:00,7:00,DE,40693.66
1/1/2018,6:00,7:00,FR,51150
1/1/2018,7:00,8:00,AT,6958
1/1/2018,7:00,8:00,DE,41536.38
1/1/2018,7:00,8:00,FR,50747
1/1/2018,8:00,9:00,AT,7382
1/1/2018,8:00,9:00,DE,43695.88
1/1/2018,8:00,9:00,FR,52177
1/1/2018,9:00,10:00,AT,7750
1/1/2018,9:00,10:00,DE,46400.38
1/1/2018,9:00,10:00,FR,54278
1/1/2018,10:00,11:00,AT,7972
1/1/2018,10:00,11:00,DE,49051.76
1/1/2018,10:00,11:00,FR,56689
1/1/2018,11:00,12:00,AT,7876
1/1/2018,11:00,12:00,DE,50167.51
1/1/2018,11:00,12:00,FR,59334
1/1/2018,12:00,13:00,AT,7804
1/1/2018,12:00,13:00,DE,49199.85
1/1/2018,12:00,13:00,FR,57018
1/1/2018,13:00,14:00,AT,7618
1/1/2018,13:00,14:00,DE,48286.55
1/1/2018,13:00,14:00,FR,54742
1/1/2018,14:00,15:00,AT,7700
1/1/2018,14:00,15:00,DE,48489.97
1/1/2018,14:00,15:00,FR,54284
1/1/2018,15:00,16:00,AT,8181
1/1/2018,15:00,16:00,DE,50593.48
1/1/2018,15:00,16:00,FR,55347
