time,variable,value
2017-04-05 09:15:00,wl1,103448.0
2017-04-05 09:30:00,wl1,114730.0
2017-04-05 09:45:00,wl1,117252.0
2017-04-05 10:00:00,wl1,115569.0
2017-04-05 10:15:00,wl1,117504.0
2017-04-05 10:30:00,wl1,116123.0
2017-04-05 10:45:00,wl1,111050.0
2017-04-05 11:00:00,wl1,111221.0
2017-04-05 11:15:00,wl1,111604.0
2017-04-05 11:30:00,wl1,113026.0
2017-04-05 09:15:00,wl2,100776.0
2017-04-05 09:30:00,wl2,113206.0
2017-04-05 09:45:00,wl2,114189.0
2017-04-05 10:00:00,wl2,111300.0
2017-04-05 10:15:00,wl2,114956.0
2017-04-05 10:30:00,wl2,112637.0
2017-04-05 10:45:00,wl2,106342.0
2017-04-05 11:00:00,wl2,108409.0
2017-04-05 11:15:00,wl2,106853.0
2017-04-05 11:30:00,wl2,108071.0
2017-04-05 09:15:00,wl3,71581.1
2017-04-05 09:30:00,wl3,68600.1
2017-04-05 09:45:00,wl3,68208.5
2017-04-05 10:00:00,wl3,67454.7
2017-04-05 10:15:00,wl3,68709.9
2017-04-05 10:30:00,wl3,66210.9
2017-04-05 10:45:00,wl3,61699.3
2017-04-05 11:00:00,wl3,66124.6
2017-04-05 11:15:00,wl3,66950.5
2017-04-05 11:30:00,wl3,68222.2
2017-04-05 09:15:00,wl4,81118.2
2017-04-05 09:30:00,wl4,78322.2
2017-04-05 09:45:00,wl4,77261.0
2017-04-05 10:00:00,wl4,75347.4
2017-04-05 10:15:00,wl4,76345.1
2017-04-05 10:30:00,wl4,74544.4
2017-04-05 10:45:00,wl4,70165.2
2017-04-05 11:00:00,wl4,74842.1
2017-04-05 11:15:00,wl4,75782.9
2017-04-05 11:30:00,wl4,77848.0
